"seller","day_of_week","income"
Abraham Bennet,"1 - Monday",231845241
Albert Ringer,"1 - Monday",392378037
Ann Dull,"1 - Monday",39656842
Anne Ringer,"1 - Monday",53386960
Burt Gringlesby,"1 - Monday",118429815
Charlene Locksley,"1 - Monday",108450662
Cheryl Carson,"1 - Monday",77977656
Dean Straight,"1 - Monday",192550177
Dirk Stringer,"1 - Monday",759341454
Heather McBadden,"1 - Monday",293014643
Innes del Castillo,"1 - Monday",260992756
Johnson White,"1 - Monday",98560781
Livia Karsen,"1 - Monday",132386625
Marjorie Green,"1 - Monday",97539868
Meander Smith,"1 - Monday",52160238
Michael O'Leary,"1 - Monday",138096277
Michel DeFrance,"1 - Monday",479584920
Morningstar Greene,"1 - Monday",67381290
Reginald Blotchet-Halls,"1 - Monday",103178571
Sheryl Hunter,"1 - Monday",153301531
Stearns MacFeather,"1 - Monday",30778276
Sylvia Panteley,"1 - Monday",96399427
Abraham Bennet,"2 - Tuesday",259058032
Albert Ringer,"2 - Tuesday",419021705
Ann Dull,"2 - Tuesday",38097807
Anne Ringer,"2 - Tuesday",55417862
Burt Gringlesby,"2 - Tuesday",114454017
Charlene Locksley,"2 - Tuesday",102419645
Cheryl Carson,"2 - Tuesday",76905547
Dean Straight,"2 - Tuesday",183459091
Dirk Stringer,"2 - Tuesday",734550037
Heather McBadden,"2 - Tuesday",267891418
Innes del Castillo,"2 - Tuesday",285473369
Johnson White,"2 - Tuesday",100275590
Livia Karsen,"2 - Tuesday",145696077
Marjorie Green,"2 - Tuesday",102488970
Meander Smith,"2 - Tuesday",63913954
Michael O'Leary,"2 - Tuesday",125258270
Michel DeFrance,"2 - Tuesday",467420386
Morningstar Greene,"2 - Tuesday",67737440
Reginald Blotchet-Halls,"2 - Tuesday",89298153
Sheryl Hunter,"2 - Tuesday",163754750
Stearns MacFeather,"2 - Tuesday",31056505
Sylvia Panteley,"2 - Tuesday",99289901
Abraham Bennet,"3 - Wednesday",214842815
Albert Ringer,"3 - Wednesday",403718425
Ann Dull,"3 - Wednesday",35589006
Anne Ringer,"3 - Wednesday",46106241
Burt Gringlesby,"3 - Wednesday",119047498
Charlene Locksley,"3 - Wednesday",106731411
Cheryl Carson,"3 - Wednesday",66729906
Dean Straight,"3 - Wednesday",168092851
Dirk Stringer,"3 - Wednesday",642376642
Heather McBadden,"3 - Wednesday",249479672
Innes del Castillo,"3 - Wednesday",245730067
Johnson White,"3 - Wednesday",89036568
Livia Karsen,"3 - Wednesday",156662691
Marjorie Green,"3 - Wednesday",94949352
Meander Smith,"3 - Wednesday",49655899
Michael O'Leary,"3 - Wednesday",134525040
Michel DeFrance,"3 - Wednesday",439203900
Morningstar Greene,"3 - Wednesday",64838804
Reginald Blotchet-Halls,"3 - Wednesday",80548671
Sheryl Hunter,"3 - Wednesday",140290965
Stearns MacFeather,"3 - Wednesday",24953854
Sylvia Panteley,"3 - Wednesday",85876350
Abraham Bennet,"4 - Thursday",226133920
Albert Ringer,"4 - Thursday",405676715
Ann Dull,"4 - Thursday",36627441
Anne Ringer,"4 - Thursday",55678731
Burt Gringlesby,"4 - Thursday",103250742
Charlene Locksley,"4 - Thursday",102081557
Cheryl Carson,"4 - Thursday",70730736
Dean Straight,"4 - Thursday",182913507
Dirk Stringer,"4 - Thursday",693463720
Heather McBadden,"4 - Thursday",289587875
Innes del Castillo,"4 - Thursday",247744631
Johnson White,"4 - Thursday",91715664
Livia Karsen,"4 - Thursday",168820566
Marjorie Green,"4 - Thursday",90204716
Meander Smith,"4 - Thursday",56688841
Michael O'Leary,"4 - Thursday",130193802
Michel DeFrance,"4 - Thursday",481154816
Morningstar Greene,"4 - Thursday",61407061
Reginald Blotchet-Halls,"4 - Thursday",89971577
Sheryl Hunter,"4 - Thursday",148434253
Stearns MacFeather,"4 - Thursday",22585496
Sylvia Panteley,"4 - Thursday",91590683
Abraham Bennet,"5 - Friday",233935361
Albert Ringer,"5 - Friday",357492148
Ann Dull,"5 - Friday",37433122
Anne Ringer,"5 - Friday",51753352
Burt Gringlesby,"5 - Friday",109360163
Charlene Locksley,"5 - Friday",97761374
Cheryl Carson,"5 - Friday",80473505
Dean Straight,"5 - Friday",176048824
Dirk Stringer,"5 - Friday",672023523
Heather McBadden,"5 - Friday",245868793
Innes del Castillo,"5 - Friday",231816497
Johnson White,"5 - Friday",91757929
Livia Karsen,"5 - Friday",172939429
Marjorie Green,"5 - Friday",99954936
Meander Smith,"5 - Friday",53551957
Michael O'Leary,"5 - Friday",142326764
Michel DeFrance,"5 - Friday",473980678
Morningstar Greene,"5 - Friday",62929144
Reginald Blotchet-Halls,"5 - Friday",96796981
Sheryl Hunter,"5 - Friday",158669557
Stearns MacFeather,"5 - Friday",28022436
Sylvia Panteley,"5 - Friday",91390800
Abraham Bennet,"6 - Saturday",219357051
Albert Ringer,"6 - Saturday",359055422
Ann Dull,"6 - Saturday",37658782
Anne Ringer,"6 - Saturday",48579237
Burt Gringlesby,"6 - Saturday",108212068
Charlene Locksley,"6 - Saturday",100507641
Cheryl Carson,"6 - Saturday",69224918
Dean Straight,"6 - Saturday",176094743
Dirk Stringer,"6 - Saturday",724561952
Heather McBadden,"6 - Saturday",260891531
Innes del Castillo,"6 - Saturday",245765313
Johnson White,"6 - Saturday",91955960
Livia Karsen,"6 - Saturday",142421334
Marjorie Green,"6 - Saturday",95303142
Meander Smith,"6 - Saturday",53094397
Michael O'Leary,"6 - Saturday",131118669
Michel DeFrance,"6 - Saturday",480574641
Morningstar Greene,"6 - Saturday",64598714
Reginald Blotchet-Halls,"6 - Saturday",92451664
Sheryl Hunter,"6 - Saturday",143802265
Stearns MacFeather,"6 - Saturday",27623848
Sylvia Panteley,"6 - Saturday",87097890
Abraham Bennet,"7 - Sunday",232328748
Albert Ringer,"7 - Sunday",362985486
Ann Dull,"7 - Sunday",34138287
Anne Ringer,"7 - Sunday",49050828
Burt Gringlesby,"7 - Sunday",112782280
Charlene Locksley,"7 - Sunday",93745116
Cheryl Carson,"7 - Sunday",69553595
Dean Straight,"7 - Sunday",176873005
Dirk Stringer,"7 - Sunday",698820601
Heather McBadden,"7 - Sunday",266458384
Innes del Castillo,"7 - Sunday",244679491
Johnson White,"7 - Sunday",88933984
Livia Karsen,"7 - Sunday",137975384
Marjorie Green,"7 - Sunday",104815534
Meander Smith,"7 - Sunday",56678279
Michael O'Leary,"7 - Sunday",125981634
Michel DeFrance,"7 - Sunday",438321488
Morningstar Greene,"7 - Sunday",68473053
Reginald Blotchet-Halls,"7 - Sunday",80496472
Sheryl Hunter,"7 - Sunday",148514539
Stearns MacFeather,"7 - Sunday",27431434
Sylvia Panteley,"7 - Sunday",95337213
